uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
P13010|Thyroid-lupus autoantigenTLAA
P13010|Ku86
P13010|Lupus Ku autoantigen protein p86
P13010|DNA repair protein XRCC5
P13010|Ku80
P16104|Histone H2A.X
Q00839|GRIP120
Q00839|Nuclear p120 ribonucleoprotein
Q00839|Scaffold-attachment factor ASAF-A
Q00839|p120
Q00839|pp120
O43918|Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy proteinAPECED protein
P31270|Homeobox protein Hox-1I
Q9H4A6|Coat protein GPP34
Q9H4A6|Mitochondrial DNA absence factorMIDAS
Q9BQ15|Nucleic acid-binding protein 2
Q9BQ15|Oligonucleotide/oligosaccharide-binding fold-containing protein 2B
Q9BQ15|Sensor of single-strand DNA complex subunit B1
Q9BQ15|Sensor of ssDNA subunit B1SOSS-B1
Q9BQ15|Single-stranded DNA-binding protein 1hSSB1
Q00839-2|GRIP120
Q00839-2|Nuclear p120 ribonucleoprotein
Q00839-2|Scaffold-attachment factor ASAF-A
Q00839-2|p120
Q00839-2|pp120
P49917|DNA ligase IV
P49917|Polydeoxyribonucleotide synthase [ATP] 4

P22415|Class B basic helix-loop-helix protein 11bHLHb11
P22415|Major late transcription factor 1

P55072|15S Mg(2+)-ATPase p97 subunit
P55072|Valosin-containing proteinVCP
P52945|Insulin promoter factor 1IPF-1
P52945|Glucose-sensitive factorGSF
P52945|Somatostatin-transactivating factor 1STF-1
P52945|Islet/duodenum homeobox-1IDX-1
P52945|Insulin upstream factor 1IUF-1
Q8TCS8|3'-5' RNA exonuclease OLD35
Q8TCS8|PNPase old-35
Q8TCS8|Polynucleotide phosphorylase 1PNPase 1
Q8TCS8|Polynucleotide phosphorylase-like protein
Q9BYX4|Clinically amyopathic dermatomyositis autoantigen 140 kDaCADM-140 autoantigen
Q9BYX4|Helicase with 2 CARD domainsHelicard
Q9BYX4|Interferon-induced with helicase C domain protein 1
Q9BYX4|Melanoma differentiation-associated protein 5MDA-5
Q9BYX4|Murabutide down-regulated protein
Q9BYX4|RIG-I-like receptor 2RLR-2
Q9BYX4|RNA helicase-DEAD box protein 116
O15553|Marenostrin
Q16512|Protease-activated kinase 1PAK-1
Q16512|Protein kinase C-like 1
Q16512|Protein kinase C-like PKN
Q16512|Protein kinase PKN-alpha
Q16512|Protein-kinase C-related kinase 1
Q16512|Serine-threonine protein kinase N
Q92900|Up-frameshift suppressor 1 homologhUpf1
Q92900|ATP-dependent helicase RENT1
Q92900|Nonsense mRNA reducing factor 1NORF1
O95382|Apoptosis signal-regulating kinase 2
Q96RR4|Calcium/calmodulin-dependent protein kinase kinase betaCaM-KK betaCaM-kinase kinase betaCaMKK beta
P40429|23 kDa highly basic protein
P40429|Large ribosomal subunit protein uL13
P09493|Tropomyosin-1
P09493|Alpha-tropomyosin
Q8WUI4|Histone deacetylase 7AHD7a
P35670|Copper pump 2
P35670|Wilson disease-associated protein
Q8WYL5|SSH-like protein 1SSH-1LhSSH-1L
Q96QB1|Deleted in liver cancer 1 proteinDLC-1
Q96QB1|HP protein
Q96QB1|Rho-type GTPase-activating protein 7
Q96QB1|START domain-containing protein 12StARD12
Q96QB1|StAR-related lipid transfer protein 12
Q15276|Rabaptin-4
Q15276|Rabaptin-5
Q15276|Rabaptin-5alpha
Q15276|Renal carcinoma antigen NY-REN-17
O75628|GTPase-regulating endothelial cell sprouting
O75628|Rad and Gem-like GTP-binding protein 1
Q99683|MAPK/ERK kinase kinase 5MEK kinase 5MEKK 5
Q99683|Apoptosis signal-regulating kinase 1ASK-1
Q9UBF8-2|NPIK
Q9UBF8-2|PI4K92
Q9UBF8-2|PI4KIII
Q9Y3E5|Bcl-2 inhibitor of transcription 1

P53367|ADP-ribosylation factor-interacting protein 1
Q13671|Ras inhibitor JC99
Q13671|Ras interaction/interference protein 1
P53367-2|ADP-ribosylation factor-interacting protein 1
P16144-2|GP150
P02686-5|Myelin A1 protein
P02686-5|Myelin membrane encephalitogenic protein

O00206|hToll
P49005|DNA polymerase delta subunit p50
P68363|Alpha-tubulin ubiquitous
P68363|Tubulin K-alpha-1
P68363|Tubulin alpha-ubiquitous chain
P26045|Protein-tyrosine phosphatase H1PTP-H1
P52564|Stress-activated protein kinase kinase 3SAPK kinase 3SAPKK-3SAPKK3
P52564|MAPK/ERK kinase 6MEK 6

P07437|Tubulin beta-5 chain
Q15750|Mitogen-activated protein kinase kinase kinase 7-interacting protein 1
Q15750|TGF-beta-activated kinase 1-binding protein 1TAK1-binding protein 1
P38159|Glycoprotein p43
P38159|Heterogeneous nuclear ribonucleoprotein GhnRNP G
O43318|Transforming growth factor-beta-activated kinase 1TGF-beta-activated kinase 1
P54646|Acetyl-CoA carboxylase kinaseACACA kinase
P54646|Hydroxymethylglutaryl-CoA reductase kinaseHMGCR kinase
P14625|94 kDa glucose-regulated proteinGRP-94
P14625|Tumor rejection antigen 1
P14625|Heat shock protein 90 kDa beta member 1
P14625|gp96 homolog
Q5SQI0|Acetyltransferase mec-17 homolog
P62820|YPT1-related protein
P68104|Elongation factor TuEF-Tu
P68104|Eukaryotic elongation factor 1 A-1eEF1A-1
P68104|Leukocyte receptor cluster member 7
P10721|Proto-oncogene c-Kit
P10721|Piebald trait proteinPBT
P10721|v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
P10721|Tyrosine-protein kinase Kit
P10721|p145 c-kit
P19525|Eukaryotic translation initiation factor 2-alpha kinase 2eIF-2A protein kinase 2
P19525|Interferon-inducible RNA-dependent protein kinase
P19525|P1/eIF-2A protein kinase
P19525|Protein kinase RNA-activatedProtein kinase RPKR
P19525|Tyrosine-protein kinase EIF2AK2
P19525|p68 kinase
Q15172|PP2A B subunit isoform R5-alpha
Q15172|PP2A B subunit isoform B'-alpha
Q15172|PP2A B subunit isoform B56-alpha
Q15172|PP2A B subunit isoform PR61-alphaPR61alpha
P29317|Epithelial cell kinase
P29317|Tyrosine-protein kinase receptor ECK
O14493|Clostridium perfringens enterotoxin receptorCPE-receptorCPE-R
O14493|Williams-Beuren syndrome chromosomal region 8 protein
Q7RTN6|Serologically defined breast cancer antigen NY-BR-96
Q7RTN6|STE20-related adapter protein
Q13485|Deletion target in pancreatic carcinoma 4
Q13485|SMAD family member 4SMAD 4Smad4hSMAD4
Q9H093|Omphalocele kinase 2
Q9H093|SNF1/AMP kinase-related kinaseSNARK
Q6UUV9|Transducer of regulated cAMP response element-binding protein 1TORC-1Transducer of CREB protein 1
Q6UUV9|Mucoepidermoid carcinoma translocated protein 1
Q15831|Liver kinase B1LKB1hLKB1
Q15831|Renal carcinoma antigen NY-REN-19
P57059|Salt-inducible kinase 1SIK-1
P57059|Serine/threonine-protein kinase SNF1-like kinase 1Serine/threonine-protein kinase SNF1LK
Q14680|Tyrosine-protein kinase MELK
Q14680|Protein kinase Eg3pEg3 kinase
Q14680|Protein kinase PK38hPK38
Q8TDC3|Serine/threonine-protein kinase SAD-B
Q8TDC3|Synapses of Amphids Defective homolog 1SAD1 homologhSAD1
Q8TDC3|Brain-specific serine/threonine-protein kinase 1BR serine/threonine-protein kinase 1
Q8TDC3|Brain-selective kinase 1
Q96L34|MAP/microtubule affinity-regulating kinase-like 1
Q9Y2K2|Salt-inducible kinase 3SIK-3
Q9Y2K2|Serine/threonine-protein kinase QSK
Q9P0L2|MAP/microtubule affinity-regulating kinase 1
Q9P0L2|PAR1 homolog cPar-1cPar1c
Q9NRH2|SNF1-related kinase
P55327|Protein N8
Q155Q3-2|Coiled-coil protein DIX1Coiled-coil-DIX1
Q155Q3-2|DIX domain-containing protein 1
Q99689|Zygin-1
Q99689|Zygin I
Q155Q3|Coiled-coil protein DIX1Coiled-coil-DIX1
Q155Q3|DIX domain-containing protein 1

Q6PHR2|Unc-51-like kinase 3
Q9NQT8|Kinesin-like protein GAKIN
Q7L804|NRip11
Q9H4P4|RING finger protein 41
Q9H4P4|RING-type E3 ubiquitin transferase NRDP1
P46939|Dystrophin-related protein 1DRP-1
Q6WKZ4-3|Rab-coupling protein
O60829|G antigen family C member 1
O60829|PAGE-1
O00213|Protein Fe65
Q9UN36|N-myc downstream-regulated gene 2 protein
Q9UN36|Protein Syld709613

P14672|Glucose transporter type 4, insulin-responsiveGLUT-4
Q9Y2I7|PIKfyve
Q9Y2I7|FYVE finger-containing phosphoinositide kinase
Q9Y2I7|Phosphatidylinositol 3-phosphate 5-kinase type IIIPIPkin-IIIType III PIP kinase
P45985|c-Jun N-terminal kinase kinase 1JNKK
P45985|Stress-activated protein kinase kinase 1SAPK kinase 1SAPKK-1SAPKK1
P45985|SAPK/ERK kinase 1SEK1
P45985|MAPK/ERK kinase 4MEK 4
P45985|JNK-activating kinase 1
P42858|Huntington disease proteinHD protein

Q9NZQ7|B7 homolog 1B7-H1
P52655|General transcription factor IIA subunit 1
P52655|Transcription initiation factor TFIIA 42 kDa subunitTFIIA-42
P52655|TFIIAL
Q15545|RNA polymerase II TBP-associated factor subunit F
Q15545|Transcription initiation factor TFIID 55 kDa subunitTAF(II)55TAFII-55TAFII55
O43768|ARPP-19e
Q9UL17|Transcription factor TBLYM
Q9UL17|T-cell-specific T-box transcription factor T-bet
P55317|Forkhead box protein A1
P55317|Transcription factor 3ATCF-3A
Q6P1J9|Hyperparathyroidism 2 protein
Q6P1J9|Cell division cycle protein 73 homolog
Q9C0H9-5|SNAP-25-interacting proteinSNIP
Q9C0H9-5|p130Cas-associated protein
Q9C0H9-5|p140Cap
Q13573|Nuclear protein SkiP
Q13573|Nuclear receptor coactivator NCoA-62
Q13573|Ski-interacting protein
Q6ZUJ8|B-cell adapter for phosphoinositide 3-kinase
Q6ZUJ8|B-cell phosphoinositide 3-kinase adapter protein 1
P46108|p38
P46108|Proto-oncogene c-Crk
Q14498|CAPER alpha
Q14498|Hepatocellular carcinoma protein 1
Q14498|RNA-binding motif protein 39
Q14498|RNA-binding region-containing protein 2
Q14498|Splicing factor HCC1
P16333|SH2/SH3 adaptor protein NCK-alpha
P16333|NCK adaptor protein 1Nck-1
Q9Y6N7|H-Robo-1
Q9Y6N7|Deleted in U twenty twenty


O14818|Proteasome subunit RC6-1
O14818|Proteasome subunit XAPC7
P17931|Lectin L-29
P17931|Mac-2 antigen
P17931|L-31
P17931|Laminin-binding protein
P17931|IgE-binding protein
P17931|Galactose-specific lectin 3
P17931|Galactoside-binding proteinGALBP
P17931|Carbohydrate-binding protein 35CBP 35
P17931|35 kDa lectin
Q03468|ATP-dependent helicase ERCC6
Q03468|Cockayne syndrome protein CSB
P15391|T-cell surface antigen Leu-12
P15391|B-lymphocyte surface antigen B4
P15391|Differentiation antigen CD19
O15269|Long chain base biosynthesis protein 1LCB 1
O15269|Serine-palmitoyl-CoA transferase 1SPT1SPT 1
O94916|T-cell transcription factor NFAT5
O94916|Tonicity-responsive enhancer-binding proteinTonE-binding proteinTonEBP
P07203|Cellular glutathione peroxidase
Q15118|Pyruvate dehydrogenase kinase isoform 1PDH kinase 1
O95433|p38
Q92731|Nuclear receptor subfamily 3 group A member 2
P55081|Spliceosome B complex protein MFAP1
Q9UBU7|Activator of S phase kinase
Q9UBU7|DBF4-type zinc finger-containing protein 1
Q9UBU7|Chiffon homolog A
O75475|Lens epithelium-derived growth factor
O75475|Transcriptional coactivator p75/p52
O75475|CLL-associated antigen KW-7
O75475|Dense fine speckles 70 kDa proteinDFS 70
Q9NS91|Postreplication repair protein RAD18hHR18hRAD18
Q9NS91|RING finger protein 73
Q9NS91|RING-type E3 ubiquitin transferase RAD18
Q00653|DNA-binding factor KBF2
Q00653|H2TF1
Q00653|Oncogene Lyt-10Lyt10
Q00653|Lymphocyte translocation chromosome 10 protein
Q00653|Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2

P49768|Protein S182
O95271|ADP-ribosyltransferase diphtheria toxin-like 5ARTD5
O95271|Poly [ADP-ribose] polymerase 5A
O95271|Protein poly-ADP-ribosyltransferase tankyrase-1
O95271|TNKS-1
O95271|TRF1-interacting ankyrin-related ADP-ribose polymerase
O95271|Tankyrase I
O95271|Tankyrase-1TANK1
Q9NRR4|Protein Drosha
Q9NRR4|Ribonuclease IIIRNase III
Q9NRR4|p241
Q07812|Bcl-2-like protein 4Bcl2-L-4
Q96KS0|Estrogen-induced tag 6EIT-6
Q96KS0|HPH-3
Q96KS0|Hypoxia-inducible factor prolyl hydroxylase 1HIF-prolyl hydroxylase 1HIF-PH1HPH-1
Q96KS0|Prolyl hydroxylase domain-containing protein 1PHD1
Q9UKA4|A-kinase anchor protein 220 kDaAKAP 220hAKAP220
Q9UKA4|Protein kinase A-anchoring protein 11PRKA11
Q9NW38|Fanconi anemia group L protein
Q9NW38|Fanconi anemia-associated polypeptide of 43 kDaFAAP43
Q9NW38|RING-type E3 ubiquitin transferase FANCL
O95997|Pituitary tumor-transforming gene 1 proteinTumor-transforming protein 1hPTTG
O95997|Esp1-associated protein
Q9Y2X9|Transcription factor ZBP-99
Q9Y2X9|Zinc finger DNA-binding protein 99
Q9Y2X9|GC-box-binding zinc finger protein 1
Q9BZS1|Scurfin
O43602-2|Doublin
O43602-2|Lissencephalin-XLis-X
P22670|Enhancer factor CEF-C
P22670|Regulatory factor X 1RFX
P22670|Transcription factor RFX1
Q15853|FOS-interacting proteinFIP
Q15853|Major late transcription factor 2
Q15853|Upstream transcription factor 2
Q15853|Class B basic helix-loop-helix protein 12bHLHb12

Q9BPU6|UNC33-like phosphoprotein 6ULIP-6
Q9BPU6|CRMP3-associated moleculeCRAM
Q9BPU6|Collapsin response mediator protein 5CRMP-5
Q96F46|CDw217
P21796|Outer mitochondrial membrane protein porin 1
P21796|Plasmalemmal porin
P21796|Porin 31HL
P21796|Porin 31HM
O60346|Pleckstrin homology domain-containing family E member 1PH domain-containing family E member 1
O60346|Suprachiasmatic nucleus circadian oscillatory proteinhSCOP
O43623|Neural crest transcription factor Slug
O43623|Protein snail homolog 2
Q9BXF6|Gamma-SNAP-associated factor 1Gaf-1
Q9BXF6|Phosphoprotein pp75
Q9BXF6|Rab11-interacting protein Rip11
P20393|V-erbA-related protein 1EAR-1
P20393|Rev-erbA-alpha

Q9NRD5|Protein kinase C-alpha-binding protein
Q9NRD5|Protein interacting with C kinase 1
O75952|Calcium-binding protein 86
O75952|Cancer/testis antigen 88CT88
O75952|Fibrousheathin II
O75952|Fibrousheathin-2FSP-2
O75952|Testis-specific calcium-binding protein CBP86
Q9HB09|Bcl-2-related proline-rich protein
Q99626|CDX-3
Q99626|Caudal-type homeobox protein 2
Q14195|Collapsin response mediator protein 4CRMP-4
Q14195|Unc-33-like phosphoprotein 1ULIP-1
Q9Y6H5|Alpha-synuclein-interacting protein

Q9H0Z9|CLL-associated antigen KW-5
Q9H0Z9|HSRNASEB
Q9H0Z9|RNA-binding motif protein 38
Q9H0Z9|RNA-binding region-containing protein 1
Q9H0Z9|ssDNA-binding protein SEB4
Q01201|I-Rel

P12524|V-myc myelocytomatosis viral oncogene homolog
P12524|Protein L-Myc-1
P12524|Class E basic helix-loop-helix protein 38bHLHe38
P16401|Histone H1b
P16401|Histone H1s-3
P16401|Histone H1a
Q14494|Locus control region-factor 1LCR-F1
Q14494|Nuclear factor erythroid 2-related factor 1NFE2-related factor 1NF-E2-related factor 1
Q14494|Nuclear factor, erythroid derived 2, like 1
Q14494|Protein NRF1, p120 form
Q14494|Transcription factor 11TCF-11
O00327|Basic-helix-loop-helix-PAS protein MOP3
O00327|Brain and muscle ARNT-like 1
O00327|bHLH-PAS protein JAP3
O00327|Class E basic helix-loop-helix protein 5bHLHe5
O00327|Member of PAS protein 3
O00327|PAS domain-containing protein 3
Q13887|Intestinal-enriched krueppel-like factor
Q13887|Transcription factor BTEB2
Q13887|Colon krueppel-like factor
Q13887|GC-box-binding protein 2
Q13887|Basic transcription element-binding protein 2BTE-binding protein 2
O15516|Class E basic helix-loop-helix protein 8bHLHe8
P53805|Down syndrome critical region protein 1
P53805|Myocyte-enriched calcineurin-interacting protein 1MCIP1
P53805|Regulator of calcineurin 1
P53805|Adapt78
Q16611|Apoptosis regulator BAK
Q16611|Bcl-2-like protein 7Bcl2-L-7
Q96T51|FYVE-finger protein EIP1
Q96T51|La-binding protein 1
Q96T51|Rab4-interacting protein
Q96T51|Zinc finger FYVE domain-containing protein 12

O43852|Crocalbin
O43852|IEF SSP 9302
Q15599|Tyrosine kinase activator protein 1TKA-1
Q15599|Solute carrier family 9 isoform A3 regulatory factor 2
Q15599|Sodium-hydrogen exchanger regulatory factor 2
Q15599|SRY-interacting protein 1SIP-1
Q15599|NHE3 kinase A regulatory protein E3KARP
Q02363|Inhibitor of DNA binding 2
Q02363|Inhibitor of differentiation 2
Q02363|Class B basic helix-loop-helix protein 26bHLHb26
Q9Y463|Minibrain-related kinase
Q9Y463|Mirk protein kinase
O75533|Pre-mRNA-splicing factor SF3b 155 kDa subunitSF3b155
O75533|Spliceosome-associated protein 155SAP 155
Q9NP31|VEGF receptor-associated protein
Q9NP31|SH2 domain-containing adapter protein
Q9NP31|T cell-specific adapter proteinTSAd
Q9H204|Tumor angiogenesis marker EG-1
Q9H204|Endothelial-derived protein 1
Q9H204|Mediator complex subunit 28
Q9H204|Merlin and Grb2-interacting cytoskeletal proteinMagicin
P20963|T-cell receptor T3 zeta chain
Q9BWW4|Sequence-specific single-stranded-DNA-binding protein
P20138|Sialic acid-binding Ig-like lectin 3Siglec-3
P20138|gp67
Q8IVM0|Protein Ymer
P16284|PECA1
P16284|GPIIA'
P16284|EndoCAM
P52630|p113
Q13291|CDw150
Q13291|IPO-3
Q13291|SLAM family member 1
Q13444|Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15MDC-15
Q13444|Metargidin
Q13444|Metalloprotease RGD disintegrin protein
P24666|Red cell acid phosphatase 1
P24666|Low molecular weight cytosolic acid phosphatase
P24666|Adipocyte acid phosphatase
Q96LC7|Siglec-like protein 2
Q495A1|V-set and immunoglobulin domain-containing protein 9
Q495A1|V-set and transmembrane domain-containing protein 3
O14543|Cytokine-inducible SH2 protein 3CIS-3
O14543|STAT-induced STAT inhibitor 3SSI-3
Q15637|Mammalian branch point-binding proteinBBPmBBP
Q15637|Zinc finger gene in MEN1 locus
Q15637|Transcription factor ZFM1
Q15637|Zinc finger protein 162
Q9BSJ6|CALM-interactor expressed in thymus and spleen
Q9BSJ6|PICALM-interacting mitotic regulator
Q9BSJ6|Regulator of chromosome segregation protein 1
Q12933|E3 ubiquitin-protein ligase TRAF2
Q12933|RING-type E3 ubiquitin transferase TRAF2
Q12933|Tumor necrosis factor type 2 receptor-associated protein 3
O14519|Deleted in oral cancer 1DOC-1
O14519|Putative oral cancer suppressor
P15172|Myogenic factor 3Myf-3
P15172|Class C basic helix-loop-helix protein 1bHLHc1
O43464|Serine proteinase OMI
O43464|Omi stress-regulated endoprotease
O43464|Serine protease 25
O43464|High temperature requirement protein A2HtrA2
P53778|Extracellular signal-regulated kinase 6ERK-6
P53778|Mitogen-activated protein kinase p38 gammaMAP kinase p38 gamma
P53778|Stress-activated protein kinase 3
P45983-3|JNK-46
P45983-3|Stress-activated protein kinase 1cSAPK1c
P45983-3|Stress-activated protein kinase JNK1
P45983-3|c-Jun N-terminal kinase 1
Q9HBY8|Serum/glucocorticoid-regulated kinase 2
Q05513|nPKC-zeta
Q96BR1|Cytokine-independent survival kinase
Q96BR1|Serum/glucocorticoid-regulated kinase-like
Q96BR1|Serum/glucocorticoid-regulated kinase 3
Q9Y243|RAC-PK-gamma
Q9Y243|STK-2
Q9Y243|Protein kinase Akt-3
Q9Y243|Protein kinase B gammaPKB gamma
P46734|MAPK/ERK kinase 3MEK 3
P46734|Stress-activated protein kinase kinase 2SAPKK2SAPK kinase 2SAPKK-2
Q8IUQ4|RING-type E3 ubiquitin transferase SIAH1
Q8IUQ4|Seven in absentia homolog 1Siah-1
Q8IUQ4|Siah-1a
Q9Y3F4|MAP activator with WD repeats
Q9Y3F4|WD-40 repeat protein PT-WD
Q9Y3F4|UNR-interacting protein
Q969S3|Zinc finger-like protein 9
P34947|G protein-coupled receptor kinase GRK5
P50502|Progesterone receptor-associated p48 protein
P50502|Protein FAM10A1
P50502|Aging-associated protein 2
P50502|Suppression of tumorigenicity 13 protein
P50502|Putative tumor suppressor ST13
P50502|Renal carcinoma antigen NY-REN-33
Q99801|Homeobox protein NK-3 homolog A
O75061|DnaJ homolog subfamily C member 6
P62280|Small ribosomal subunit protein uS17
P46459|Vesicular-fusion protein NSF
P46459|N-ethylmaleimide-sensitive fusion proteinNEM-sensitive fusion protein
P62841|RIG protein
P62841|Small ribosomal subunit protein uS19
Q13155|Protein JTV-1
Q13155|Multisynthase complex auxiliary component p38
P19634|APNH
P19634|Solute carrier family 9 member 1
P19634|Na(+)/H(+) exchanger 1NHE-1
P19634|Na(+)/H(+) antiporter, amiloride-sensitive
Q99958|Mesenchyme fork head protein 1MFH-1 protein
Q99958|Forkhead-related protein FKHL14
Q99958|Transcription factor FKH-14

P78356|PtdIns(5)P-4-kinase isoform 2-beta
P78356|1-phosphatidylinositol 5-phosphate 4-kinase 2-beta
P78356|Diphosphoinositide kinase 2-beta
P78356|Phosphatidylinositol 5-phosphate 4-kinase type II betaPI(5)P 4-kinase type II betaPIP4KII-beta
P21462|N-formyl peptide receptorFPR
P21462|N-formylpeptide chemoattractant receptor
Q9UBK2|Ligand effect modulator 6
P21397|Monoamine oxidase type AMAO-A
Q9UK80|Deubiquitinating enzyme 21
Q9UK80|Ubiquitin-specific-processing protease 21
Q9UK80|Ubiquitin thioesterase 21
Q9NQU5|p21-activated kinase 6PAK-6
Q9NQU5|PAK-5
Q06413-3|Myocyte enhancer factor 2C
P42574|Protein Yama
P42574|SREBP cleavage activity 1SCA-1
P42574|Cysteine protease CPP32CPP-32
P42574|Apopain
P06702|Calprotectin L1H subunit
P06702|Leukocyte L1 complex heavy chain
P06702|Migration inhibitory factor-related protein 14MRP-14p14
P06702|S100 calcium-binding protein A9
P06702|Calgranulin-B
Q8NHW3|Pancreatic beta-cell-specific transcriptional activator
Q8NHW3|RIPE3b1 factor
Q8NHW3|V-maf musculoaponeurotic fibrosarcoma oncogene homolog A
Q9BR76|Coronin-2
P42566|Protein AF-1p
O60381|High mobility group box transcription factor 1
O60381|HMG box transcription factor 1
P42677|Metallopan-stimulin 1MPS-1
P42677|Small ribosomal subunit protein eS27
